date,y1,y2,y3,y
0.000,0.000,0.300,0.014,0.314
1.000,0.208,0.303,0.113,0.624
2.000,0.407,0.306,0.015,0.728
3.000,0.588,0.309,-0.176,0.721
4.000,0.743,0.312,0.112,1.167
5.000,0.866,0.315,-0.090,1.091
6.000,0.951,0.318,0.016,1.285
7.000,0.995,0.321,0.172,1.488
8.000,0.995,0.324,0.023,1.341
9.000,0.951,0.327,0.082,1.360
10.000,0.866,0.330,0.028,1.224
11.000,0.743,0.333,0.012,1.088
12.000,0.588,0.336,0.008,0.932
13.000,0.407,0.339,-0.032,0.714
14.000,0.208,0.342,0.072,0.622
15.000,-0.000,0.345,0.066,0.411
16.000,-0.208,0.348,0.079,0.219
17.000,-0.407,0.351,-0.089,-0.144
18.000,-0.588,0.354,-0.107,-0.341
19.000,-0.743,0.357,-0.030,-0.416
20.000,-0.866,0.360,-0.113,-0.619
21.000,-0.951,0.363,-0.054,-0.642
22.000,-0.995,0.366,0.033,-0.596
23.000,-0.995,0.369,0.181,-0.445
24.000,-0.951,0.372,-0.105,-0.684
25.000,-0.866,0.375,-0.110,-0.601
26.000,-0.743,0.378,0.054,-0.312
27.000,-0.588,0.381,0.192,-0.015
28.000,-0.407,0.384,0.177,0.154
29.000,-0.208,0.387,-0.112,0.067
30.000,0.000,0.390,-0.056,0.334
31.000,0.208,0.393,-0.192,0.409
32.000,0.407,0.396,0.124,0.927
33.000,0.588,0.399,-0.024,0.963
34.000,0.743,0.402,0.055,1.200
35.000,0.866,0.405,-0.091,1.180
36.000,0.951,0.408,-0.003,1.356
37.000,0.995,0.411,-0.238,1.168
38.000,0.995,0.414,0.008,1.417
39.000,0.951,0.417,-0.147,1.221
40.000,0.866,0.420,0.146,1.432
41.000,0.743,0.423,0.187,1.353
42.000,0.588,0.426,0.192,1.205
43.000,0.407,0.429,0.060,0.896
44.000,0.208,0.432,-0.157,0.482
45.000,-0.000,0.435,-0.164,0.271
46.000,-0.208,0.438,0.060,0.290
47.000,-0.407,0.441,-0.050,-0.016
48.000,-0.588,0.444,0.022,-0.122
49.000,-0.743,0.447,-0.032,-0.329
50.000,-0.866,0.450,-0.003,-0.419
51.000,-0.951,0.453,-0.059,-0.557
52.000,-0.995,0.456,0.141,-0.397
53.000,-0.995,0.459,0.090,-0.445
54.000,-0.951,0.462,-0.016,-0.505
55.000,-0.866,0.465,0.163,-0.238
56.000,-0.743,0.468,0.033,-0.242
57.000,-0.588,0.471,-0.006,-0.123
58.000,-0.407,0.474,-0.074,-0.007
59.000,-0.208,0.477,-0.155,0.114
60.000,0.000,0.480,-0.094,0.386
61.000,0.208,0.483,-0.042,0.649
62.000,0.407,0.486,0.213,1.105
63.000,0.588,0.489,0.019,1.096
64.000,0.743,0.492,0.032,1.268
65.000,0.866,0.495,0.016,1.377
66.000,0.951,0.498,0.108,1.557
67.000,0.995,0.501,-0.141,1.355
68.000,0.995,0.504,-0.130,1.369
69.000,0.951,0.507,0.032,1.490
70.000,0.866,0.510,-0.013,1.363
71.000,0.743,0.513,0.180,1.436
72.000,0.588,0.516,-0.188,0.916
73.000,0.407,0.519,-0.094,0.832
74.000,0.208,0.522,0.073,0.803
75.000,-0.000,0.525,-0.032,0.493
76.000,-0.208,0.528,0.170,0.491
77.000,-0.407,0.531,-0.026,0.098
78.000,-0.588,0.534,0.010,-0.044
79.000,-0.743,0.537,-0.008,-0.214
80.000,-0.866,0.540,0.145,-0.181
81.000,-0.951,0.543,-0.078,-0.487
82.000,-0.995,0.546,0.036,-0.413
83.000,-0.995,0.549,0.260,-0.186
84.000,-0.951,0.552,0.082,-0.317
85.000,-0.866,0.555,0.041,-0.270
86.000,-0.743,0.558,-0.008,-0.193
87.000,-0.588,0.561,0.070,0.043
88.000,-0.407,0.564,-0.059,0.098
89.000,-0.208,0.567,0.147,0.506
90.000,0.000,0.570,0.031,0.601
91.000,0.208,0.573,0.007,0.788
92.000,0.407,0.576,0.147,1.130
93.000,0.588,0.579,0.079,1.246
94.000,0.743,0.582,0.063,1.388
95.000,0.866,0.585,-0.142,1.309
96.000,0.951,0.588,0.089,1.629
97.000,0.995,0.591,-0.010,1.576
98.000,0.995,0.594,0.022,1.610
99.000,0.951,0.597,-0.170,1.378
100.000,0.866,0.600,-0.065,1.401
101.000,0.743,0.603,0.152,1.498
102.000,0.588,0.606,-0.057,1.137
103.000,0.407,0.609,0.225,1.241
104.000,0.208,0.612,-0.014,0.806
105.000,-0.000,0.615,-0.054,0.561
106.000,-0.208,0.618,-0.095,0.315
107.000,-0.407,0.621,-0.215,-0.000
108.000,-0.588,0.624,0.135,0.171
109.000,-0.743,0.627,0.010,-0.106
110.000,-0.866,0.630,-0.107,-0.343
111.000,-0.951,0.633,0.165,-0.153
112.000,-0.995,0.636,0.247,-0.111
113.000,-0.995,0.639,-0.109,-0.465
114.000,-0.951,0.642,-0.018,-0.327
115.000,-0.866,0.645,-0.122,-0.343
116.000,-0.743,0.648,-0.155,-0.250
117.000,-0.588,0.651,0.031,0.095
118.000,-0.407,0.654,0.041,0.288
119.000,-0.208,0.657,0.033,0.482
120.000,0.000,0.660,0.064,0.724
121.000,0.208,0.663,0.085,0.956
122.000,0.407,0.666,-0.010,1.063
123.000,0.588,0.669,-0.129,1.127
124.000,0.743,0.672,0.112,1.527
125.000,0.866,0.675,-0.114,1.427
126.000,0.951,0.678,0.019,1.648
127.000,0.995,0.681,-0.156,1.520
128.000,0.995,0.684,-0.052,1.626
129.000,0.951,0.687,0.027,1.665
130.000,0.866,0.690,-0.040,1.516
131.000,0.743,0.693,0.230,1.666
132.000,0.588,0.696,-0.015,1.268
133.000,0.407,0.699,-0.047,1.059
134.000,0.208,0.702,0.193,1.103
135.000,-0.000,0.705,0.048,0.753
136.000,-0.208,0.708,-0.126,0.375
137.000,-0.407,0.711,0.085,0.389
138.000,-0.588,0.714,-0.054,0.072
139.000,-0.743,0.717,0.151,0.125
140.000,-0.866,0.720,-0.066,-0.212
141.000,-0.951,0.723,0.094,-0.134
142.000,-0.995,0.726,0.056,-0.213
143.000,-0.995,0.729,0.083,-0.183
144.000,-0.951,0.732,0.025,-0.194
145.000,-0.866,0.735,-0.103,-0.234
146.000,-0.743,0.738,-0.013,-0.018
147.000,-0.588,0.741,0.115,0.269
148.000,-0.407,0.744,-0.014,0.324
149.000,-0.208,0.747,-0.091,0.448
150.000,0.000,0.750,0.019,0.769
151.000,0.208,0.753,0.142,1.102
152.000,0.407,0.756,-0.044,1.119
153.000,0.588,0.759,-0.145,1.202
154.000,0.743,0.762,-0.043,1.462
155.000,0.866,0.765,-0.214,1.417
156.000,0.951,0.768,-0.163,1.556
157.000,0.995,0.771,0.068,1.834
158.000,0.995,0.774,0.067,1.835
159.000,0.951,0.777,0.055,1.783
160.000,0.866,0.780,0.148,1.795
161.000,0.743,0.783,-0.052,1.474
162.000,0.588,0.786,-0.003,1.371
163.000,0.407,0.789,-0.085,1.111
164.000,0.208,0.792,-0.103,0.897
165.000,0.000,0.795,0.056,0.851
166.000,-0.208,0.798,-0.020,0.570
167.000,-0.407,0.801,0.054,0.448
168.000,-0.588,0.804,-0.125,0.091
169.000,-0.743,0.807,0.185,0.249
170.000,-0.866,0.810,-0.070,-0.126
171.000,-0.951,0.813,-0.035,-0.173
172.000,-0.995,0.816,0.064,-0.115
173.000,-0.995,0.819,0.018,-0.157
174.000,-0.951,0.822,0.031,-0.098
175.000,-0.866,0.825,0.222,0.181
176.000,-0.743,0.828,0.016,0.101
177.000,-0.588,0.831,0.091,0.334
178.000,-0.407,0.834,-0.061,0.366
179.000,-0.208,0.837,-0.142,0.487
180.000,0.000,0.840,-0.064,0.776
181.000,0.208,0.843,0.134,1.185
182.000,0.407,0.846,0.056,1.309
183.000,0.588,0.849,-0.052,1.385
184.000,0.743,0.852,-0.131,1.464
185.000,0.866,0.855,-0.043,1.678
186.000,0.951,0.858,0.015,1.824
187.000,0.995,0.861,0.049,1.904
188.000,0.995,0.864,-0.032,1.826
189.000,0.951,0.867,0.038,1.856
190.000,0.866,0.870,-0.047,1.689
191.000,0.743,0.873,-0.188,1.428
192.000,0.588,0.876,-0.097,1.367
