date,y1,y2,y3,y
0.000,0.000,0.000,0.000,0.000
1.000,0.000,0.208,0.000,0.208
2.000,0.000,0.407,0.000,0.407
3.000,0.000,0.588,0.000,0.588
4.000,0.000,0.743,0.000,0.743
5.000,0.000,0.866,0.000,0.866
6.000,0.000,0.951,0.000,0.951
7.000,0.000,0.995,0.000,0.995
8.000,0.000,0.995,0.000,0.995
9.000,0.000,0.951,0.000,0.951
10.000,0.000,0.866,0.000,0.866
11.000,0.000,0.743,0.000,0.743
12.000,0.000,0.588,0.000,0.588
13.000,0.000,0.407,0.000,0.407
14.000,0.000,0.208,0.000,0.208
15.000,0.000,-0.000,0.000,-0.000
16.000,0.000,-0.208,0.000,-0.208
17.000,0.000,-0.407,0.000,-0.407
18.000,0.000,-0.588,0.000,-0.588
19.000,0.000,-0.743,0.000,-0.743
20.000,0.000,-0.866,0.000,-0.866
21.000,0.000,-0.951,0.000,-0.951
22.000,0.000,-0.995,0.000,-0.995
23.000,0.000,-0.995,0.000,-0.995
24.000,0.000,-0.951,0.000,-0.951
25.000,0.000,-0.866,0.000,-0.866
26.000,0.000,-0.743,0.000,-0.743
27.000,0.000,-0.588,0.000,-0.588
28.000,0.000,-0.407,0.000,-0.407
29.000,0.000,-0.208,0.000,-0.208
30.000,0.000,0.000,0.000,0.000
31.000,0.000,0.208,0.000,0.208
32.000,0.000,0.407,0.000,0.407
33.000,0.000,0.588,0.000,0.588
34.000,0.000,0.743,0.000,0.743
35.000,0.000,0.866,0.000,0.866
36.000,0.000,0.951,0.000,0.951
37.000,0.000,0.995,0.000,0.995
38.000,0.000,0.995,0.000,0.995
39.000,0.000,0.951,0.000,0.951
40.000,0.000,0.866,0.000,0.866
41.000,0.000,0.743,0.000,0.743
42.000,0.000,0.588,0.000,0.588
43.000,0.000,0.407,0.000,0.407
44.000,0.000,0.208,0.000,0.208
45.000,0.000,-0.000,0.000,-0.000
46.000,0.000,-0.208,0.000,-0.208
47.000,0.000,-0.407,0.000,-0.407
48.000,0.000,-0.588,0.000,-0.588
49.000,0.000,-0.743,0.000,-0.743
50.000,0.000,-0.866,0.000,-0.866
51.000,0.000,-0.951,0.000,-0.951
52.000,0.000,-0.995,0.000,-0.995
53.000,0.000,-0.995,0.000,-0.995
54.000,0.000,-0.951,0.000,-0.951
55.000,0.000,-0.866,0.000,-0.866
56.000,0.000,-0.743,0.000,-0.743
57.000,0.000,-0.588,0.000,-0.588
58.000,0.000,-0.407,0.000,-0.407
59.000,0.000,-0.208,0.000,-0.208
60.000,0.000,0.000,0.000,0.000
61.000,0.000,0.208,0.000,0.208
62.000,0.000,0.407,0.000,0.407
63.000,0.000,0.588,0.000,0.588
64.000,0.000,0.743,0.000,0.743
65.000,0.000,0.866,0.000,0.866
66.000,0.000,0.951,0.000,0.951
67.000,0.000,0.995,0.000,0.995
68.000,0.000,0.995,0.000,0.995
69.000,0.000,0.951,0.000,0.951
70.000,0.000,0.866,0.000,0.866
71.000,0.000,0.743,0.000,0.743
72.000,0.000,0.588,0.000,0.588
73.000,0.000,0.407,0.000,0.407
74.000,0.000,0.208,0.000,0.208
75.000,0.000,-0.000,0.000,-0.000
76.000,0.000,-0.208,0.000,-0.208
77.000,0.000,-0.407,0.000,-0.407
78.000,0.000,-0.588,0.000,-0.588
79.000,0.000,-0.743,0.000,-0.743
80.000,0.000,-0.866,0.000,-0.866
81.000,0.000,-0.951,0.000,-0.951
82.000,0.000,-0.995,0.000,-0.995
83.000,0.000,-0.995,0.000,-0.995
84.000,0.000,-0.951,0.000,-0.951
85.000,0.000,-0.866,0.000,-0.866
86.000,0.000,-0.743,0.000,-0.743
87.000,0.000,-0.588,0.000,-0.588
88.000,0.000,-0.407,0.000,-0.407
89.000,0.000,-0.208,0.000,-0.208
