date,y1,y2,y3,y
0.000,0.000,0.000,0.000,0.000
1.000,0.052,0.000,0.000,0.052
2.000,0.105,0.000,0.000,0.105
3.000,0.156,0.000,0.000,0.156
4.000,0.208,0.000,0.000,0.208
5.000,0.259,0.000,0.000,0.259
6.000,0.309,0.000,0.000,0.309
7.000,0.358,0.000,0.000,0.358
8.000,0.407,0.000,0.000,0.407
9.000,0.454,0.000,0.000,0.454
10.000,0.500,0.000,0.000,0.500
11.000,0.545,0.000,0.000,0.545
12.000,0.588,0.000,0.000,0.588
13.000,0.629,0.000,0.000,0.629
14.000,0.669,0.000,0.000,0.669
15.000,0.707,0.000,0.000,0.707
16.000,0.743,0.000,0.000,0.743
17.000,0.777,0.000,0.000,0.777
18.000,0.809,0.000,0.000,0.809
19.000,0.839,0.000,0.000,0.839
20.000,0.866,0.000,0.000,0.866
21.000,0.891,0.000,0.000,0.891
22.000,0.914,0.000,0.000,0.914
23.000,0.934,0.000,0.000,0.934
24.000,0.951,0.000,0.000,0.951
25.000,0.966,0.000,0.000,0.966
26.000,0.978,0.000,0.000,0.978
27.000,0.988,0.000,0.000,0.988
28.000,0.995,0.000,0.000,0.995
29.000,0.999,0.000,0.000,0.999
30.000,1.000,0.000,0.000,1.000
31.000,0.999,0.000,0.000,0.999
32.000,0.995,0.000,0.000,0.995
33.000,0.988,0.000,0.000,0.988
34.000,0.978,0.000,0.000,0.978
35.000,0.966,0.000,0.000,0.966
36.000,0.951,0.000,0.000,0.951
37.000,0.934,0.000,0.000,0.934
38.000,0.914,0.000,0.000,0.914
39.000,0.891,0.000,0.000,0.891
40.000,0.866,0.000,0.000,0.866
41.000,0.839,0.000,0.000,0.839
42.000,0.809,0.000,0.000,0.809
43.000,0.777,0.000,0.000,0.777
44.000,0.743,0.000,0.000,0.743
45.000,0.707,0.000,0.000,0.707
46.000,0.669,0.000,0.000,0.669
47.000,0.629,0.000,0.000,0.629
48.000,0.588,0.000,0.000,0.588
49.000,0.545,0.000,0.000,0.545
50.000,0.500,0.000,0.000,0.500
51.000,0.454,0.000,0.000,0.454
52.000,0.407,0.000,0.000,0.407
53.000,0.358,0.000,0.000,0.358
54.000,0.309,0.000,0.000,0.309
55.000,0.259,0.000,0.000,0.259
56.000,0.208,0.000,0.000,0.208
57.000,0.156,0.000,0.000,0.156
58.000,0.105,0.000,0.000,0.105
59.000,0.052,0.000,0.000,0.052
60.000,-0.000,0.000,0.000,-0.000
61.000,-0.052,0.000,0.000,-0.052
62.000,-0.105,0.000,0.000,-0.105
63.000,-0.156,0.000,0.000,-0.156
64.000,-0.208,0.000,0.000,-0.208
65.000,-0.259,0.000,0.000,-0.259
66.000,-0.309,0.000,0.000,-0.309
67.000,-0.358,0.000,0.000,-0.358
68.000,-0.407,0.000,0.000,-0.407
69.000,-0.454,0.000,0.000,-0.454
70.000,-0.500,0.000,0.000,-0.500
71.000,-0.545,0.000,0.000,-0.545
