date,y1,y2,y3,y
0.000,3.000,0.000,0.000,3.000
1.000,3.791,0.000,0.000,3.791
2.000,3.911,0.000,0.000,3.911
3.000,3.219,0.000,0.000,3.219
4.000,2.134,0.000,0.000,2.134
5.000,1.319,0.000,0.000,1.319
6.000,1.199,0.000,0.000,1.199
7.000,1.643,0.000,0.000,1.643
8.000,2.082,0.000,0.000,2.082
9.000,1.946,0.000,0.000,1.946
10.000,1.106,0.000,0.000,1.106
11.000,-0.013,0.000,0.000,-0.013
12.000,-0.743,0.000,0.000,-0.743
13.000,-0.663,0.000,0.000,-0.663
14.000,0.090,0.000,0.000,0.090
15.000,0.933,0.000,0.000,0.933
16.000,1.280,0.000,0.000,1.280
17.000,0.983,0.000,0.000,0.983
18.000,0.444,0.000,0.000,0.444
19.000,0.308,0.000,0.000,0.308
20.000,0.971,0.000,0.000,0.971
21.000,2.271,0.000,0.000,2.271
22.000,3.605,0.000,0.000,3.605
23.000,4.364,0.000,0.000,4.364
24.000,4.387,0.000,0.000,4.387
25.000,4.062,0.000,0.000,4.062
26.000,4.026,0.000,0.000,4.026
27.000,4.673,0.000,0.000,4.673
28.000,5.845,0.000,0.000,5.845
29.000,6.943,0.000,0.000,6.943
30.000,7.374,0.000,0.000,7.374
31.000,6.990,0.000,0.000,6.990
32.000,6.201,0.000,0.000,6.201
33.000,5.666,0.000,0.000,5.666
34.000,5.802,0.000,0.000,5.802
35.000,6.475,0.000,0.000,6.475
36.000,7.111,0.000,0.000,7.111
37.000,7.139,0.000,0.000,7.139
38.000,6.430,0.000,0.000,6.430
39.000,5.411,0.000,0.000,5.411
40.000,4.753,0.000,0.000,4.753
41.000,4.880,0.000,0.000,4.880
42.000,5.660,0.000,0.000,5.660
43.000,6.518,0.000,0.000,6.518
44.000,6.874,0.000,0.000,6.874
45.000,6.587,0.000,0.000,6.587
46.000,6.067,0.000,0.000,6.067
47.000,5.964,0.000,0.000,5.964
48.000,6.682,0.000,0.000,6.682
49.000,8.064,0.000,0.000,8.064
50.000,9.509,0.000,0.000,9.509
51.000,10.414,0.000,0.000,10.414
52.000,10.615,0.000,0.000,10.615
53.000,10.503,0.000,0.000,10.503
54.000,10.711,0.000,0.000,10.711
55.000,11.630,0.000,0.000,11.630
56.000,13.095,0.000,0.000,13.095
57.000,14.504,0.000,0.000,14.504
58.000,15.254,0.000,0.000,15.254
59.000,15.190,0.000,0.000,15.190
60.000,14.714,0.000,0.000,14.714
61.000,14.477,0.000,0.000,14.477
62.000,14.887,0.000,0.000,14.887
63.000,15.803,0.000,0.000,15.803
64.000,16.646,0.000,0.000,16.646
65.000,16.838,0.000,0.000,16.838
66.000,16.248,0.000,0.000,16.248
67.000,15.299,0.000,0.000,15.299
68.000,14.662,0.000,0.000,14.662
69.000,14.762,0.000,0.000,14.762
70.000,15.470,0.000,0.000,15.470
71.000,16.213,0.000,0.000,16.213
72.000,16.418,0.000,0.000,16.418
73.000,15.949,0.000,0.000,15.949
74.000,15.224,0.000,0.000,15.224
75.000,14.900,0.000,0.000,14.900
76.000,15.386,0.000,0.000,15.386
77.000,16.533,0.000,0.000,16.533
78.000,17.748,0.000,0.000,17.748
79.000,18.431,0.000,0.000,18.431
80.000,18.424,0.000,0.000,18.424
81.000,18.120,0.000,0.000,18.120
82.000,18.154,0.000,0.000,18.154
83.000,18.915,0.000,0.000,18.915
84.000,20.240,0.000,0.000,20.240
85.000,21.522,0.000,0.000,21.522
86.000,22.154,0.000,0.000,22.154
87.000,21.977,0.000,0.000,21.977
88.000,21.385,0.000,0.000,21.385
89.000,21.022,0.000,0.000,21.022
90.000,21.290,0.000,0.000,21.290
91.000,22.041,0.000,0.000,22.041
92.000,22.689,0.000,0.000,22.689
93.000,22.651,0.000,0.000,22.651
94.000,21.790,0.000,0.000,21.790
95.000,20.527,0.000,0.000,20.527
96.000,19.528,0.000,0.000,19.528
97.000,19.220,0.000,0.000,19.220
98.000,19.474,0.000,0.000,19.474
99.000,19.721,0.000,0.000,19.721
100.000,19.390,0.000,0.000,19.390
101.000,18.352,0.000,0.000,18.352
102.000,17.031,0.000,0.000,17.031
103.000,16.092,0.000,0.000,16.092
104.000,15.953,0.000,0.000,15.953
105.000,16.474,0.000,0.000,16.474
106.000,17.069,0.000,0.000,17.069
107.000,17.149,0.000,0.000,17.149
108.000,16.562,0.000,0.000,16.562
109.000,15.708,0.000,0.000,15.708
110.000,15.228,0.000,0.000,15.228
111.000,15.517,0.000,0.000,15.517
112.000,16.412,0.000,0.000,16.412
113.000,17.307,0.000,0.000,17.307
114.000,17.597,0.000,0.000,17.597
115.000,17.120,0.000,0.000,17.120
116.000,16.265,0.000,0.000,16.265
117.000,15.673,0.000,0.000,15.673
118.000,15.740,0.000,0.000,15.740
119.000,16.312,0.000,0.000,16.312
120.000,16.796,0.000,0.000,16.796
121.000,16.600,0.000,0.000,16.600
122.000,15.583,0.000,0.000,15.583
123.000,14.158,0.000,0.000,14.158
124.000,12.989,0.000,0.000,12.989
125.000,12.496,0.000,0.000,12.496
126.000,12.548,0.000,0.000,12.548
127.000,12.575,0.000,0.000,12.575
