date,y1,y2,y3,y
0.000,0.000,0.000,0.000,0.000
1.000,0.026,0.000,0.000,0.026
2.000,0.052,0.000,0.000,0.052
3.000,0.078,0.000,0.000,0.078
4.000,0.105,0.000,0.000,0.105
5.000,0.131,0.000,0.000,0.131
6.000,0.156,0.000,0.000,0.156
7.000,0.182,0.000,0.000,0.182
8.000,0.208,0.000,0.000,0.208
9.000,0.233,0.000,0.000,0.233
10.000,0.259,0.000,0.000,0.259
11.000,0.284,0.000,0.000,0.284
12.000,0.309,0.000,0.000,0.309
13.000,0.334,0.000,0.000,0.334
14.000,0.358,0.000,0.000,0.358
15.000,0.383,0.000,0.000,0.383
16.000,0.407,0.000,0.000,0.407
17.000,0.431,0.000,0.000,0.431
18.000,0.454,0.000,0.000,0.454
19.000,0.477,0.000,0.000,0.477
20.000,0.500,0.000,0.000,0.500
21.000,0.522,0.000,0.000,0.522
22.000,0.545,0.000,0.000,0.545
23.000,0.566,0.000,0.000,0.566
24.000,0.588,0.000,0.000,0.588
25.000,0.609,0.000,0.000,0.609
26.000,0.629,0.000,0.000,0.629
27.000,0.649,0.000,0.000,0.649
28.000,0.669,0.000,0.000,0.669
29.000,0.688,0.000,0.000,0.688
30.000,0.707,0.000,0.000,0.707
31.000,0.725,0.000,0.000,0.725
32.000,0.743,0.000,0.000,0.743
33.000,0.760,0.000,0.000,0.760
34.000,0.777,0.000,0.000,0.777
35.000,0.793,0.000,0.000,0.793
36.000,0.809,0.000,0.000,0.809
37.000,0.824,0.000,0.000,0.824
38.000,0.839,0.000,0.000,0.839
39.000,0.853,0.000,0.000,0.853
40.000,0.866,0.000,0.000,0.866
41.000,0.879,0.000,0.000,0.879
42.000,0.891,0.000,0.000,0.891
43.000,0.903,0.000,0.000,0.903
44.000,0.914,0.000,0.000,0.914
45.000,0.924,0.000,0.000,0.924
46.000,0.934,0.000,0.000,0.934
47.000,0.943,0.000,0.000,0.943
48.000,0.951,0.000,0.000,0.951
49.000,0.959,0.000,0.000,0.959
50.000,0.966,0.000,0.000,0.966
51.000,0.972,0.000,0.000,0.972
52.000,0.978,0.000,0.000,0.978
53.000,0.983,0.000,0.000,0.983
54.000,0.988,0.000,0.000,0.988
55.000,0.991,0.000,0.000,0.991
56.000,0.995,0.000,0.000,0.995
57.000,0.997,0.000,0.000,0.997
58.000,0.999,0.000,0.000,0.999
59.000,1.000,0.000,0.000,1.000
60.000,1.000,0.000,0.000,1.000
61.000,1.000,0.000,0.000,1.000
62.000,0.999,0.000,0.000,0.999
63.000,0.997,0.000,0.000,0.997
64.000,0.995,0.000,0.000,0.995
65.000,0.991,0.000,0.000,0.991
66.000,0.988,0.000,0.000,0.988
67.000,0.983,0.000,0.000,0.983
68.000,0.978,0.000,0.000,0.978
69.000,0.972,0.000,0.000,0.972
70.000,0.966,0.000,0.000,0.966
71.000,0.959,0.000,0.000,0.959
72.000,0.951,0.000,0.000,0.951
73.000,0.943,0.000,0.000,0.943
74.000,0.934,0.000,0.000,0.934
75.000,0.924,0.000,0.000,0.924
76.000,0.914,0.000,0.000,0.914
77.000,0.903,0.000,0.000,0.903
78.000,0.891,0.000,0.000,0.891
79.000,0.879,0.000,0.000,0.879
80.000,0.866,0.000,0.000,0.866
81.000,0.853,0.000,0.000,0.853
82.000,0.839,0.000,0.000,0.839
83.000,0.824,0.000,0.000,0.824
84.000,0.809,0.000,0.000,0.809
85.000,0.793,0.000,0.000,0.793
86.000,0.777,0.000,0.000,0.777
87.000,0.760,0.000,0.000,0.760
88.000,0.743,0.000,0.000,0.743
89.000,0.725,0.000,0.000,0.725
90.000,0.707,0.000,0.000,0.707
91.000,0.688,0.000,0.000,0.688
92.000,0.669,0.000,0.000,0.669
93.000,0.649,0.000,0.000,0.649
94.000,0.629,0.000,0.000,0.629
95.000,0.609,0.000,0.000,0.609
96.000,0.588,0.000,0.000,0.588
97.000,0.566,0.000,0.000,0.566
98.000,0.545,0.000,0.000,0.545
99.000,0.522,0.000,0.000,0.522
100.000,0.500,0.000,0.000,0.500
101.000,0.477,0.000,0.000,0.477
102.000,0.454,0.000,0.000,0.454
103.000,0.431,0.000,0.000,0.431
104.000,0.407,0.000,0.000,0.407
105.000,0.383,0.000,0.000,0.383
106.000,0.358,0.000,0.000,0.358
107.000,0.334,0.000,0.000,0.334
108.000,0.309,0.000,0.000,0.309
109.000,0.284,0.000,0.000,0.284
110.000,0.259,0.000,0.000,0.259
111.000,0.233,0.000,0.000,0.233
112.000,0.208,0.000,0.000,0.208
113.000,0.182,0.000,0.000,0.182
114.000,0.156,0.000,0.000,0.156
115.000,0.131,0.000,0.000,0.131
116.000,0.105,0.000,0.000,0.105
117.000,0.078,0.000,0.000,0.078
118.000,0.052,0.000,0.000,0.052
119.000,0.026,0.000,0.000,0.026
120.000,-0.000,0.000,0.000,-0.000
121.000,-0.026,0.000,0.000,-0.026
122.000,-0.052,0.000,0.000,-0.052
123.000,-0.078,0.000,0.000,-0.078
124.000,-0.105,0.000,0.000,-0.105
125.000,-0.131,0.000,0.000,-0.131
126.000,-0.156,0.000,0.000,-0.156
127.000,-0.182,0.000,0.000,-0.182
128.000,-0.208,0.000,0.000,-0.208
129.000,-0.233,0.000,0.000,-0.233
130.000,-0.259,0.000,0.000,-0.259
131.000,-0.284,0.000,0.000,-0.284
132.000,-0.309,0.000,0.000,-0.309
133.000,-0.334,0.000,0.000,-0.334
134.000,-0.358,0.000,0.000,-0.358
135.000,-0.383,0.000,0.000,-0.383
136.000,-0.407,0.000,0.000,-0.407
137.000,-0.431,0.000,0.000,-0.431
138.000,-0.454,0.000,0.000,-0.454
139.000,-0.477,0.000,0.000,-0.477
140.000,-0.500,0.000,0.000,-0.500
141.000,-0.522,0.000,0.000,-0.522
142.000,-0.545,0.000,0.000,-0.545
143.000,-0.566,0.000,0.000,-0.566
144.000,-0.588,0.000,0.000,-0.588
145.000,-0.609,0.000,0.000,-0.609
146.000,-0.629,0.000,0.000,-0.629
147.000,-0.649,0.000,0.000,-0.649
148.000,-0.669,0.000,0.000,-0.669
149.000,-0.688,0.000,0.000,-0.688
150.000,-0.707,0.000,0.000,-0.707
151.000,-0.725,0.000,0.000,-0.725
152.000,-0.743,0.000,0.000,-0.743
153.000,-0.760,0.000,0.000,-0.760
154.000,-0.777,0.000,0.000,-0.777
155.000,-0.793,0.000,0.000,-0.793
